,Numéro de mallot,Nom,Pays,Né le,Pos.,Club,Entraineur
495,23.0,T. Monconduit,FRA,10/02/91,Mil.,Lorient,C. Pelissier
496,24.0,F. Wadja,CAM,30/11/94,Mil.,Lorient,C. Pelissier
497,7.0,S. Diarra,FRA,9/12/98,Att.,Lorient,C. Pelissier
498,27.0,A. Grbic,AUT,4/08/96,Att.,Lorient,C. Pelissier
499,29.0,P. Hamel,FRA,19/03/94,Att.,Lorient,C. Pelissier
500,13.0,T. Moffi,NGA,25/05/99,Att.,Lorient,C. Pelissier
501,19.0,Y. Wissa,FRA,3/09/96,Att.,Lorient,C. Pelissier
502,16.0,S. Cibois,FRA,2/03/98,Gar.,Brest,M. Der Zakarian
503,40.0,M. Hassen,TUN,5/03/95,Gar.,Brest,M. Der Zakarian
504,1.0,G. Larsonneur,FRA,23/02/97,Gar.,Brest,M. Der Zakarian
505,24.0,L. Baal,FRA,24/05/86,Déf.,Brest,M. Der Zakarian
506,17.0,D. Bain,FRA,2/07/93,Déf.,Brest,M. Der Zakarian
507,24.0,L. Brassier,FRA,2/11/99,Déf.,Brest,M. Der Zakarian
508,5.0,B. Chardonnet,FRA,22/12/94,Déf.,Brest,M. Der Zakarian
509,2.0,J. Duverne,FRA,12/07/97,Déf.,Brest,M. Der Zakarian
510,22.0,J. Faussurier,FRA,14/01/87,Déf.,Brest,M. Der Zakarian
511,23.0,C. Hérelle,FRA,22/08/92,Déf.,Brest,M. Der Zakarian
512,18.0,R. Perraud,FRA,22/09/97,Déf.,Brest,M. Der Zakarian
513,20.0,R. Pierre-Gabriel,FRA,13/06/98,Déf.,Brest,M. Der Zakarian
514,7.0,H. Belkebla,ALG,28/01/94,Mil.,Brest,M. Der Zakarian
515,None,K. Benvindo,FRA,None,Mil.,Brest,M. Der Zakarian
516,4.0,I. Dioh,FRA,21/01/99,Mil.,Brest,M. Der Zakarian
517,29.0,B. Fadiga,FRA,15/01/01,Mil.,Brest,M. Der Zakarian
518,21.0,R. Faivre,FRA,14/07/98,Mil.,Brest,M. Der Zakarian
519,6.0,Jean Lucas,BRE,22/06/98,Mil.,Brest,M. Der Zakarian
520,8.0,P. Lasne,FRA,16/01/89,Mil.,Brest,M. Der Zakarian
521,27.0,H. Magnetti,FRA,30/05/98,Mil.,Brest,M. Der Zakarian
522,28.0,H. Mbock,FRA,28/12/99,Mil.,Brest,M. Der Zakarian
523,19.0,F. N'Goma,FRA,15/06/93,Mil.,Brest,M. Der Zakarian
524,12.0,R. Philippoteaux,FRA,2/03/88,Mil.,Brest,M. Der Zakarian
525,None,D. Bangoura,FRA,27/12/01,Att.,Brest,M. Der Zakarian
526,14.0,I. Cardona,FRA,8/08/97,Att.,Brest,M. Der Zakarian
527,10.0,G. Charbonnier,FRA,27/12/88,Att.,Brest,M. Der Zakarian
528,9.0,F. Honorat,FRA,11/08/96,Att.,Brest,M. Der Zakarian
529,26.0,J. Le Douaron,FRA,21/04/98,Att.,Brest,M. Der Zakarian
530,15.0,S. Mounié,BEN,29/09/94,Att.,Brest,M. Der Zakarian
531,1.0,A. Lafont,FRA,23/01/99,Gar.,Nantes,A. Kambouaré
532,30.0,D. Petric,SLN,24/05/88,Gar.,Nantes,A. Kambouaré
533,12.0,D. Appiah,FRA,9/06/92,Déf.,Nantes,A. Kambouaré
534,15.0,T. Basila,FRA,30/04/99,Déf.,Nantes,A. Kambouaré
535,21.0,J. Castelletto,CAM,26/01/95,Déf.,Nantes,A. Kambouaré
536,24.0,S. Corchia,FRA,1/11/90,Déf.,Nantes,A. Kambouaré
537,2.0,D. Fabio,BRE,9/07/90,Déf.,Nantes,A. Kambouaré
538,3.0,A. Girotto,BRE,17/02/92,Déf.,Nantes,A. Kambouaré
539,15.0,B. Mendy,FRA,12/01/00,Déf.,Nantes,A. Kambouaré
540,4.0,N. Pallois,FRA,19/09/87,Déf.,Nantes,A. Kambouaré
541,None,A. Sylla,GUI,10/04/00,Déf.,Nantes,A. Kambouaré
542,14.0,C. Traoré,MLI,1/01/92,Déf.,Nantes,A. Kambouaré
543,None,A. Walongwa,RDC,15/10/93,Déf.,Nantes,A. Kambouaré
544,10.0,L. Blas,FRA,31/12/98,Mil.,Nantes,A. Kambouaré
545,5.0,P. Chirivella,ESP,23/05/97,Mil.,Nantes,A. Kambouaré
546,11.0,M. Coco,FRA,24/06/96,Mil.,Nantes,A. Kambouaré
547,17.0,A. Limbombe,BEL,15/07/94,Mil.,Nantes,A. Kambouaré
548,26.0,I. Louza,FRA,1/05/99,Mil.,Nantes,A. Kambouaré
549,16.0,Q. Merlin,FRA,16/05/02,Mil.,Nantes,A. Kambouaré
550,6.0,R. Pereira de Sa,FRA,10/12/96,Mil.,Nantes,A. Kambouaré
551,19.0,A. Touré,FRA,3/03/94,Mil.,Nantes,A. Kambouaré
552,20.0,J. Augustin,FRA,16/06/97,Att.,Nantes,A. Kambouaré
553,32.0,A. Bamba,FRA,25/05/94,Att.,Nantes,A. Kambouaré
554,7.0,K. Coulibaly,MLI,21/08/91,Att.,Nantes,A. Kambouaré
555,28.0,R. Emond,BEL,5/12/91,Att.,Nantes,A. Kambouaré
556,23.0,R. Kolo Muani,FRA,5/12/98,Att.,Nantes,A. Kambouaré
557,22.0,B. Ndilu,FRA,21/07/00,Att.,Nantes,A. Kambouaré
558,27.0,M. Simon,NGA,12/07/95,Att.,Nantes,A. Kambouaré
559,None,L. Dias,FRA,22/05/99,Gar.,Nîmes,P. Plancque
560,None,A. Nazih,FRA,18/01/02,Gar.,Nîmes,P. Plancque
561,None,B. Reynet,FRA,28/10/90,Gar.,Nîmes,P. Plancque
562,None,S. Alakouch,FRA,29/07/98,Déf.,Nîmes,P. Plancque
563,None,A. Briançon,FRA,29/11/94,Déf.,Nîmes,P. Plancque
564,None,P. Burner,FRA,11/04/96,Déf.,Nîmes,P. Plancque
565,None,K. Guessoum,FRA,5/02/99,Déf.,Nîmes,P. Plancque
566,None,L. Landre,FRA,5/05/92,Déf.,Nîmes,P. Plancque
567,None,A. Malanda,FRA,29/10/01,Déf.,Nîmes,P. Plancque
568,None,P. Martinez,FRA,21/02/89,Déf.,Nîmes,P. Plancque
569,None,B. Meling,NOR,17/12/94,Déf.,Nîmes,P. Plancque
570,None,F. Miguel,FRA,1/09/96,Déf.,Nîmes,P. Plancque
571,None,G. Paquiez,FRA,15/02/94,Déf.,Nîmes,P. Plancque
572,None,R. Ripart,FRA,14/03/93,Déf.,Nîmes,P. Plancque
573,None,N. Ueda,JAP,24/10/94,Déf.,Nîmes,P. Plancque
574,None,M. Ahlinvi,FRA,2/07/99,Mil.,Nîmes,P. Plancque
575,None,Y. Benrahou,FRA,24/01/99,Mil.,Nîmes,P. Plancque
576,None,L. Buades,FRA,28/12/97,Mil.,Nîmes,P. Plancque
577,None,A. Cubas,PAR,22/05/96,Mil.,Nîmes,P. Plancque
578,None,L. Deaux,FRA,26/12/88,Mil.,Nîmes,P. Plancque
579,None,H. Duljevic,BOS,16/11/93,Mil.,Nîmes,P. Plancque
580,None,N. Eliasson,SUE,7/12/95,Mil.,Nîmes,P. Plancque
581,None,Z. Ferhat,ALG,1/03/93,Mil.,Nîmes,P. Plancque
582,None,L. Fomba,FRA,26/01/98,Mil.,Nîmes,P. Plancque
583,None,S. Sarr,SEN,5/06/96,Mil.,Nîmes,P. Plancque
584,None,A. Valerio,FRA,11/12/99,Mil.,Nîmes,P. Plancque
585,None,K. Aribi,ALG,24/06/94,Att.,Nîmes,P. Plancque
586,None,S. Ben Amar,FRA,2/03/98,Att.,Nîmes,P. Plancque
587,None,N. Chadli,FRA,28/07/01,Att.,Nîmes,P. Plancque
588,None,C. Depres,FRA,25/11/94,Att.,Nîmes,P. Plancque
589,None,M. Doucouré,FRA,22/05/00,Att.,Nîmes,P. Plancque
590,None,M. Koné,SEN,30/12/97,Att.,Nîmes,P. Plancque
591,None,M. Majouga,FRA,9/05/01,Att.,Nîmes,P. Plancque
592,None,N. Roux,FRA,1/03/88,Att.,Nîmes,P. Plancque
593,None,S. Allagbé,BEN,22/11/93,Gar.,Dijon,D. Linares
594,None,L. Ntumba,FRA,12/01/01,Gar.,Dijon,D. Linares
595,None,A. Racioppi,SUI,31/12/98,Gar.,Dijon,D. Linares
596,None,S. Boey,FRA,13/09/00,Déf.,Dijon,D. Linares
597,None,F. Chafik,MAR,16/10/86,Déf.,Dijon,D. Linares
598,None,A. Chala,EQU,9/05/96,Déf.,Dijon,D. Linares
599,None,S. Coulibaly,FRA,4/09/94,Déf.,Dijon,D. Linares
600,None,B. Ecuele Manga,GAB,16/07/88,Déf.,Dijon,D. Linares
601,None,W. Lautoa,FRA,25/08/87,Déf.,Dijon,D. Linares
602,None,G. Ngonda Muzinga,RDC,31/12/94,Déf.,Dijon,D. Linares
603,None,A. Ngouyamsa,CAM,21/12/00,Déf.,Dijon,D. Linares
604,None,J. Panzo,ANG,25/10/00,Déf.,Dijon,D. Linares
605,None,A. Arli,TUR,5/01/03,Mil.,Dijon,D. Linares
606,None,R. Assalé,CIV,13/11/93,Mil.,Dijon,D. Linares
607,None,Y. Benzia,ALG,8/09/94,Mil.,Dijon,D. Linares
608,None,B. Celina,KOS,9/09/96,Mil.,Dijon,D. Linares
609,None,C. Costes,FRA,16/09/02,Mil.,Dijon,D. Linares
610,None,E. Dina Ebimbe,FRA,21/11/00,Mil.,Dijon,D. Linares
611,None,P. Diop,SEN,8/08/97,Mil.,Dijon,D. Linares
612,None,M. Dobre,ROU,30/08/98,Mil.,Dijon,D. Linares
613,None,A. Kamara,FRA,7/03/95,Mil.,Dijon,D. Linares
614,None,J. Marié,FRA,29/09/91,Mil.,Dijon,D. Linares
615,None,D. Ndong,GAB,17/06/94,Mil.,Dijon,D. Linares
616,None,F. Sammaritano,FRA,23/03/86,Mil.,Dijon,D. Linares
617,None,W. Younoussa,CAM,9/09/01,Mil.,Dijon,D. Linares
618,None,A. Zagré,FRA,4/10/01,Mil.,Dijon,D. Linares
619,None,M. Baldé,GUB,6/11/95,Att.,Dijon,D. Linares
620,None,E. Belhadji,FRA,23/06/01,Att.,Dijon,D. Linares
621,None,M. Chouiar,FRA,23/01/99,Att.,Dijon,D. Linares
622,None,M. Konaté,SEN,3/04/93,Att.,Dijon,D. Linares
623,None,J. Siwe,FRA,29/07/01,Att.,Dijon,D. Linares
