,Année,Mois,Jour,Heure,Equipe domicile,Equipe exterieure,Vainqueur,Score domicile,Score extérieur,Buteurs,Lieu du match,Journée,Région,Temperature moyenne,Précipitations en mm
234,2021,02,07,T15:00:00+0100,Nîmes,Monaco,exterieur,3,4,"['L. Deaux', 'Z. Ferhat', 'N. Eliasson', 'A. Golovine', 'A. Golovine', 'A. Golovine', 'K. Volland']",Nîmes,24,languedoc-roussillon,11.5,1
235,2021,02,07,T15:00:00+0100,Saint-Étienne,Metz,domicile,1,0,['J. Boye'],Saint-Étienne,24,rh-ne-alpes,7.0,25
236,2021,02,07,T15:00:00+0100,Nice,Angers,domicile,3,0,"['S. Doumbia', 'M. Maolida', 'A. Gouiri']",Nice,24,provence-alpes-c-te-d-azur,12.5,10
237,2021,02,07,T15:00:00+0100,Montpellier,Dijon,domicile,4,2,"['G. Laborde', 'G. Laborde', 'T. Savanier', 'P. Skuletic', 'S. Coulibaly', 'M. Konaté']",Montpellier,24,languedoc-roussillon,11.0,1
238,2021,02,07,T17:00:00+0100,Nantes,Lille,exterieur,0,2,"['J. David', 'J. David']",Nantes,24,pays-de-la-loire,6.0,1
239,2021,02,07,T21:00:00+0100,Marseille,Paris-SG,exterieur,0,2,"['K. Mbappé', 'M. Icardi']",Marseille,24,provence-alpes-c-te-d-azur,11.5,4
240,2021,02,13,T17:00:00+0100,Paris-SG,Nice,domicile,2,1,"['J. Draxler', 'M. Kean', 'R. Lopes']",Paris,25,ile-de-france,-1.5,0
241,2021,02,13,T19:00:00+0100,Reims,Lens,ex-aequo,1,1,"['A. Zeneli', 'F. Sotoca']",Reims,25,champagne-ardenne,-2.5,0
242,2021,02,13,T21:00:00+0100,Lyon,Montpellier,exterieur,1,2,"['L. Paqueta', 'T. Savanier', 'S. Wahi']",Lyon,25,rh-ne-alpes,-3.5,3
243,2021,02,14,T13:00:00+0100,Monaco,Lorient,ex-aequo,2,2,"['W. Ben Yedder', 'W. Ben Yedder', 'T. Moffi', 'T. Moffi']",Monaco,25,provence-alpes-c-te-d-azur,6.5,1
244,2021,02,14,T15:00:00+0100,Rennes,Saint-Étienne,exterieur,0,2,"['D. Bouanga', 'A. Nordin']",Rennes,25,bretagne,1.0,1
245,2021,02,14,T15:00:00+0100,Metz,Strasbourg,exterieur,1,2,"['T. Delaine', 'A. Thomasson', 'A. Thomasson']",Metz,25,lorraine,-1.5,0
246,2021,02,14,T15:00:00+0100,Angers,Nantes,exterieur,1,3,"['T. Mangani', 'M. Simon', 'I. Louza', 'A. Bamba']",Angers,25,pays-de-la-loire,1.5,0
247,2021,02,14,T15:00:00+0100,Dijon,Nîmes,exterieur,0,2,"['R. Ripart', 'N. Eliasson']",Dijon,25,bourgogne,-2.5,0
248,2021,02,14,T17:05:00+0100,Lille,Brest,ex-aequo,0,0,[None],Lille,25,nord-pas-de-calais,0.0,0
249,2021,02,14,T21:00:00+0100,Bordeaux,Marseille,ex-aequo,0,0,[None],Bordeaux,25,aquitaine,8.0,0
250,2021,02,19,T21:00:00+0100,Brest,Lyon,exterieur,2,3,"['B. Chardonnet', 'I. Cardona', 'L. Paqueta', 'H. Aouar', 'M. Depay']",Brest,26,bretagne,10.0,3
251,2021,02,20,T13:00:00+0100,Saint-Étienne,Reims,ex-aequo,1,1,"['C. Abi', 'E. Touré']",Saint-Étienne,26,rh-ne-alpes,9.0,0
252,2021,02,20,T17:00:00+0100,Nantes,Marseille,ex-aequo,1,1,"['L. Blas', 'D. Payet']",Nantes,26,pays-de-la-loire,14.0,0
253,2021,02,21,T13:00:00+0100,Montpellier,Rennes,domicile,2,1,"['S. Mavididi', 'S. Mavididi', 'S. Guirassy']",Montpellier,26,languedoc-roussillon,11.5,0
254,2021,02,21,T15:00:00+0100,Lens,Dijon,domicile,2,1,"['S. Fofana', 'S. Banza', 'G. Ngonda Muzinga']",Lens,26,nord-pas-de-calais,11.0,0
255,2021,02,21,T15:00:00+0100,Nice,Metz,exterieur,1,2,"['A. Gouiri', 'B. Kouyaté', 'M. Gueye']",Nice,26,provence-alpes-c-te-d-azur,11.5,0
256,2021,02,21,T15:00:00+0100,Strasbourg,Angers,ex-aequo,0,0,[None],Strasbourg,26,alsace,12.0,0
257,2021,02,21,T15:00:00+0100,Nîmes,Bordeaux,domicile,2,0,"['B. Meling', 'R. Ripart']",Nîmes,26,languedoc-roussillon,12.5,0
258,2021,02,21,T17:05:00+0100,Lorient,Lille,exterieur,1,4,"['J. Hergault', 'A. Gravillon', 'J. Fonte', 'J. Ikoné', 'D. Bradaric']",Lorient,26,bretagne,11.0,2
259,2021,02,21,T21:00:00+0100,Paris-SG,Monaco,exterieur,0,2,"['S. Diop', 'G. Maripan']",Paris,26,ile-de-france,12.0,0
260,2021,02,26,T21:00:00+0100,Rennes,Nice,exterieur,1,2,"['M. Terrier', 'A. Gouiri', 'F. Daniliuc']",Rennes,27,bretagne,6.5,0
261,2021,02,27,T13:00:00+0100,Bordeaux,Metz,exterieur,1,2,"['S. Kalu', 'T. Delaine', 'V. Dias Goncalves']",Bordeaux,27,aquitaine,9.5,0
262,2021,02,27,T17:00:00+0100,Dijon,Paris-SG,exterieur,0,4,"['M. Kean', 'K. Mbappé', 'K. Mbappé', 'D. Pereira']",Dijon,27,bourgogne,7.5,3
263,2021,02,28,T13:00:00+0100,Monaco,Brest,domicile,2,0,"['S. Jovetic', 'K. Volland']",Monaco,27,provence-alpes-c-te-d-azur,14.0,0
264,2021,02,28,T15:00:00+0100,Angers,Lens,ex-aequo,2,2,"['L. Diony', 'T. Mangani', 'J. Clauss', 'A. Kalimuendo']",Angers,27,pays-de-la-loire,6.5,0
265,2021,02,28,T15:00:00+0100,Reims,Montpellier,ex-aequo,0,0,[None],Reims,27,champagne-ardenne,7.0,0
